StudentID,Age,Gender,StudyHours,Marks
1,20,Male,1,50
2,21,Female,2,51
3,22,Male,3,52
4,23,Female,4,53
5,24,Male,5,54
6,20,Female,6,55
7,21,Male,1,56
8,22,Female,2,57
9,23,Male,3,58
10,24,Female,4,59
11,20,Male,5,60
12,21,Female,6,61
13,22,Male,1,62
14,23,Female,2,63
15,24,Male,3,64
16,20,Female,4,65
17,21,Male,5,66
18,22,Female,6,67
19,23,Male,1,68
20,24,Female,2,69
21,20,Male,3,70
22,21,Female,4,71
23,22,Male,5,72
24,23,Female,6,73
25,24,Male,1,74
26,20,Female,2,75
27,21,Male,3,76
28,22,Female,4,77
29,23,Male,5,78
30,24,Female,6,79
31,20,Male,1,80
32,21,Female,2,81
33,22,Male,3,82
34,23,Female,4,83
35,24,Male,5,84
36,20,Female,6,85
37,21,Male,1,86
38,22,Female,2,87
39,23,Male,3,88
40,24,Female,4,89
41,20,Male,5,90
42,21,Female,6,91
43,22,Male,1,92
44,23,Female,2,93
45,24,Male,3,94
46,20,Female,4,95
47,21,Male,5,96
48,22,Female,6,97
49,23,Male,1,98
50,24,Female,2,99
